i,mean-3-MGVT,std-3-MGVT,mean-3-T2VT,std-3-T2VT
729,-46.93690294808825,4.08565306505808,-49.67297272896521,4.554654535648193
1094,-36.823939479893575,3.9089834385806412,-30.77638958315494,3.4507971667915207
1459,-35.137237360844466,3.722557371765847,-26.53618584235801,2.8111234186898755
1824,-30.23478474278258,3.517320574203584,-23.88530370506658,2.14711768722317
2189,-22.835769940532984,2.662900499587969,-21.169071732806046,1.9735455804652802
2554,-22.46062765719346,2.6360668619392715,-20.774920000890233,2.083690027582783
2920,-20.222281140750905,2.237583427491202,-19.092919982789468,1.845446314891618
3285,-19.55848760352888,2.2296822435961614,-18.339270646738747,1.815525286911796
3651,-20.177934345487106,2.1531947837072147,-17.993595353966608,1.9148418685604032
4016,-18.96711480942448,2.0585713252696487,-19.30546894622545,1.8971264647236628
4381,-18.05147199304846,1.6582631608538498,-17.424545248968517,1.613435173967623
4746,-16.14867527445132,1.6767529721368333,-15.530225871242592,1.7074208665466126
5111,-17.231458734142294,2.1224549996883315,-15.879773231321353,1.3723886777969534
5476,-15.836199765797408,1.5952417064924354,-14.59577503967412,1.3528595527273704
5841,-17.28176118730772,1.98978307729258,-16.144531821075176,1.7668317973227947
6207,-16.48618897126434,1.6599814681022007,-15.892145030804716,2.1341859360420763
6572,-15.44614223328714,1.6542781481090767,-14.53590984702102,1.6789855166067238
6938,-15.412921939378835,1.6047452783371878,-14.357542003152489,1.6973301977644408
7303,-14.53582899059634,1.4133634086150564,-14.301269449073631,1.9092263292907448
7668,-14.281457258966862,1.3651329771068421,-13.393182225118473,1.374466171064579
8033,-14.059413537831308,1.3148912323947146,-13.47559598418529,1.5354221195424458
8398,-13.542711977423066,1.3842578082936654,-12.818496919721284,1.3558677591880994
8763,-13.306685355374427,1.434976445977788,-12.214461904545178,1.2392479635662905
9128,-13.8224033798842,1.2994278302263953,-13.364103705260181,1.5056215006365012
9494,-13.386881779203936,1.1337561722113978,-13.24441100296534,1.3696075900004852
9859,-13.002029206097633,1.4228851907162632,-13.106596646993927,1.724470642035102
10225,-13.837224425558523,1.2311717054025229,-14.06891825194844,1.6592429087805534
10591,-13.847725362494375,1.2741934394329033,-13.598529039211893,1.726197930288502
10956,-13.309629450876029,1.190773353747335,-13.330046312992634,1.4728811337810421
11321,-12.354648111799152,1.3404390606871952,-12.60824777852239,1.7230018135906946
11686,-13.929441008803913,1.2938543524904869,-13.513649370725675,1.6716864673196459
12051,-12.71803075916442,1.521403186498779,-11.960420929421762,1.4832433714569628
12416,-13.58286240654571,1.2170737179911593,-13.345041784371645,1.6900237905266227
12781,-16.522734197501258,1.594392084869726,-14.543093965407136,1.3886239785607217
13146,-13.966539471175258,1.2886472541475855,-12.704137351370514,1.526546605137685
13511,-13.572858782276144,1.3793198548684587,-12.374159852840855,1.4110570614372633
13876,-14.921453093725233,1.5295714877217512,-13.333877698157572,1.6488437254261679
14242,-14.4463519789092,1.5612280636405822,-13.535992130976092,1.6187769430777315
14607,-13.954518447890523,1.4183949240982316,-12.840173320163657,1.3083308797373985
14973,-14.290881001557791,1.5330204264187053,-13.149429135457938,1.3222910970643347
