i,mean-1-MGVT,std-1-MGVT,mean-3-MGVT,std-3-MGVT,mean-1-T2VT,std-1-T2VT,mean-3-T2VT,std-3-T2VT
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,-74.63744119036171,4.434415845596504,-77.28704748552538,4.120844914652883,-74.68451599358086,4.421547588919236,-74.98128818418735,4.350540307316525
400,-74.11168704993476,3.3475978551991297,-75.65167891835408,3.5455589646894516,-74.2700502859464,3.2246592157831575,-74.05720562361553,3.4746510226407397
600,-74.17459787891276,2.9321381596268066,-76.28588059847408,2.84852477472728,-74.15937587166154,3.025244911966558,-74.14674720341723,3.259607632610508
800,-74.25008435652103,2.484426871270816,-75.26691065672739,2.630782196768072,-74.27912270920348,2.753785948993633,-74.46258354864827,3.0338802124313093
1000,-73.20242658164099,2.4548089230662185,-75.241656258835,2.447234431813759,-74.28125236557663,2.6845470413652075,-74.38775597683939,2.843835052445471
1200,-73.22538526606017,2.3028577064297777,-74.3061555511794,2.23187322104748,-73.59694059395346,2.6379136529214176,-74.35897437693353,2.7715861100437156
1400,-73.38860782554156,2.2502856298747704,-73.70491968061664,2.227525508472756,-73.29885041042981,2.71887573643195,-73.98364963509002,2.8280620184602827
1600,-73.25014559988126,2.1440706608347813,-73.13770613761595,2.317534989810981,-73.19781977008387,2.691243000616089,-73.63942252577556,2.853847761361954
1800,-73.04105240260611,2.1707650616375167,-73.01915241258081,2.3833436345623498,-73.00344881493001,2.7018909911303677,-73.5368151293813,2.8613488329934613
2000,-72.91506067630365,2.2511527544293335,-72.81280208522489,2.446558406883675,-72.73478686792203,2.7161889474070144,-73.27728517585918,2.881220654507893
2200,-72.71170044127612,2.233177563955015,-72.65890295922877,2.4291220910612523,-72.38305402860178,2.7074999212070603,-73.02093873575349,2.8796560031282925
2400,-72.65842129099022,2.2659358043796916,-72.30990327991353,2.511864290620602,-72.12554314559496,2.690069987873707,-72.51382888583359,2.9224818636885552
2600,-72.59422638591823,2.292078046906424,-72.33537895823484,2.5299943053852583,-71.89377507948018,2.6792092776536194,-72.40831083171928,2.8797809521129514
2800,-72.25715191161679,2.3164722090352488,-72.08363409905297,2.4895856674736025,-71.42798702566546,2.6882494184530907,-72.3356190691795,2.880526038720854
3000,-72.2224795283965,2.346919801149826,-71.84682038074946,2.5337441169017207,-71.15849725370099,2.691458924208768,-72.01551954964613,2.886229828226188
3200,-72.30974474662817,2.3187128917187882,-71.75425592230124,2.5536868160285597,-71.14810262365599,2.6809926407713056,-71.85577304389068,2.908136157969521
3400,-72.20512225526403,2.304558651079881,-71.85209687039008,2.5127930964132585,-71.04541084537182,2.7054822864399957,-71.64219848077786,2.9251256707300737
3600,-72.27778149969411,2.3043539178928647,-71.83691170409304,2.504350085275576,-70.9350407685816,2.712031031804602,-71.33448374664938,2.922222802383159
3800,-72.11785144955368,2.2891178908545022,-71.94195071380248,2.499693325488013,-70.83004301051281,2.7228536083313797,-71.00803573468748,2.946505185957753
4000,-72.16409170385917,2.320120529397447,-71.89602573671458,2.5035497347539386,-70.46498669792624,2.7516099571731534,-70.83048615476311,2.9876625611726353
4200,-72.10031371016942,2.322709092183793,-71.83202283932518,2.4902191370479714,-70.29198902047231,2.743268795271667,-70.62182978967543,3.0127190599371865
