i,mean-1-MGVT,std-1-MGVT,mean-3-MGVT,std-3-MGVT,mean-1-T2VT,std-1-T2VT,mean-3-T2VT,std-3-T2VT
200,-82.9359999645427,2.4511917808962105,-83.82361648827096,2.2542295541474697,-81.78898682553256,2.591959984626351,-82.44240287606901,2.3194808010885035
400,-83.79354992286868,1.4303803817055913,-83.11364429862046,1.7796266078542653,-81.44407435769583,1.96062571800001,-81.48353841483667,2.1053948850544595
600,-83.26339661362182,1.3749575857002343,-83.2469291188016,1.3723423511163075,-80.7056534510571,1.7977258971692902,-81.13798826942917,1.9233349551915964
800,-83.32700531414098,1.2737260514065263,-83.24583204662986,1.2406600780636616,-80.4436157890611,1.8748742000970242,-81.11004376326177,1.7838439339324168
1000,-83.35048081945415,1.208574676420661,-83.24987351011735,1.2310002444280934,-80.63876267659575,1.7501644090440864,-80.85894673021333,1.6985578603846114
1200,-83.31159472829897,1.2370706621008267,-83.35202532060352,1.206136929818815,-80.50226039194104,1.741556385937015,-81.0922230659139,1.5604758772971905
1400,-83.55746182495888,1.1109237789582036,-83.14112409219717,1.179209092256015,-80.5574875660868,1.6826859394274518,-81.1388127058318,1.492120501057277
1600,-83.44764065665508,1.1051885989414159,-83.24355252031364,1.1618751109145167,-80.4468947172653,1.6562459516379435,-81.12027614211513,1.5225178232346634
1800,-83.21553326062357,1.156881670939875,-83.19946474029058,1.1554477120796998,-80.42028752244767,1.6387046315568348,-80.89041635778953,1.5198883791738251
2000,-83.06373624417009,1.1742478965859342,-83.23309190984233,1.1569532066093722,-80.41002271619357,1.6104518651228248,-80.88437773146859,1.4412177740634564
2200,-83.08373289316576,1.1711299133060629,-83.34577620461214,1.1109578072495743,-80.20501789284523,1.625738851885404,-80.77393241352503,1.4270301618536003
2400,-82.99409269651298,1.1872388517486225,-83.46358682781593,1.0651653770367944,-80.09160303258888,1.6927488489598799,-80.54201039674926,1.4559037295881971
2600,-83.01218595373162,1.1606800142993043,-83.50612963707921,1.090867889035132,-79.98107692799128,1.7243786373030965,-80.40420897624843,1.4955014448317079
2800,-82.8988313022687,1.1968519094745431,-83.4422834117143,1.0919698278099097,-79.83349647449444,1.7224287251125712,-80.29504414546108,1.5376531573339065
3000,-82.68728388899049,1.215680644209067,-83.48475559772825,1.0798773609276813,-79.7301127036761,1.7126159745560097,-80.12880613064942,1.5845838308303104
3200,-82.63672272258275,1.219245805612353,-83.47396017660132,1.0866706124953798,-79.72211867972683,1.6793603275664686,-80.17393888697478,1.576658697553668
3400,-82.55812319724855,1.2261285912303732,-83.47064209803133,1.084851202818698,-79.75080640845249,1.6744034883049002,-79.98602813330422,1.6282856376268238
