i,mean-1-MGVT,std-1-MGVT,mean-3-MGVT,std-3-MGVT,mean-1-T2VT,std-1-T2VT,mean-3-T2VT,std-3-T2VT
200,-73.76913319463561,3.864630333112528,-71.42914638719307,4.309409663414986,-74.70778633739877,4.818890380682544,-73.7293697951581,4.6757328900195825
400,-74.62565906743762,3.0150106680054027,-72.05274348714885,3.4928670908782737,-70.40579783127963,3.8636101722190186,-73.78511552110722,3.961852783609068
600,-73.82407405063708,2.9061880783041025,-73.23063986965734,3.011482699371423,-70.02386644740878,3.3828400190868875,-72.31490066961074,3.2526276615718084
800,-74.36448183436092,2.697214863183719,-73.49917241238307,2.8620865522116556,-69.74950661751484,3.1108385769193907,-71.97191217473542,3.087342772366307
1000,-73.43290576790054,2.6365412692906696,-73.6087943158826,2.732219755246044,-70.18769897545168,3.0188621881278386,-70.98026059664384,2.96216392024624
1200,-73.64891125681855,2.5402476942345804,-72.64234596352951,2.6283802793025814,-69.73557404882239,2.902885145239417,-69.97501057511994,2.8729698749746646
1400,-73.93838348746266,2.459331309583075,-72.80597809436642,2.5080307667174244,-69.60388933433556,2.981332994232974,-69.65204472997469,2.847687594927594
1600,-73.92421153151737,2.377675828368389,-72.88991111169206,2.4620447646994803,-69.27295698001286,3.0227394049043768,-69.40984456441161,2.8566560944024886
1800,-73.9007245734418,2.3667533343461686,-73.04649648813391,2.411976150408809,-68.74593256271761,3.026084294088905,-69.1938938430168,2.8790391735098515
2000,-73.65026066719699,2.332848483012896,-73.12967622461612,2.363975619305976,-68.42156625675769,2.9954793156526143,-69.05704293611319,2.951247417962965
2200,-73.41732083684472,2.3895892839573083,-73.04012324834501,2.3577902386744714,-68.14683138867308,3.041825302769852,-68.57930359513712,2.9248922358966722
2400,-73.53722965159564,2.3851589299299065,-72.98043792240689,2.3736572623628445,-67.7534923292377,3.0531025393973135,-68.32042008241466,2.8992653398244395
2600,-73.45998484103346,2.3914412990795606,-72.81955719988301,2.3955351508520475,-67.53684831159889,3.059187750332668,-67.9631830616267,2.940257021748862
2800,-73.24862215429238,2.384619158632267,-72.96004443986817,2.360868056014391,-67.2280677977313,3.008714585450184,-67.74521483193357,2.908792120477645
3000,-73.34063348546502,2.332047493346273,-72.8797534387848,2.3826483191046046,-66.93583038648941,3.017237812834316,-67.58898443256417,2.8582829458129755
3200,-73.22778706484274,2.354340999381231,-72.79028923500991,2.4120814856759054,-66.4852905849904,2.975693122587442,-67.26722894204079,2.8348311464840856
3400,-73.04910917288434,2.2983890161393488,-72.78350417899804,2.443016154761721,-66.38131290673783,2.997271780781918,-66.99416694754466,2.840700838592131
3600,-73.18903110364772,2.3057095377004417,-72.66293186443545,2.476142076611749,-65.95129134365648,3.016997904148848,-66.8486930345558,2.820815883658932
3800,-73.26940806551399,2.2993561828370215,-72.63540285405803,2.4765909886282764,-65.73254535522324,3.03370020260865,-66.82924433577006,2.823931592759752
4000,-73.08761077453995,2.3445058914150922,-72.57640954663597,2.4674028141971696,-65.49333964558161,3.0542044327696054,-66.56150335701858,2.8355406604184723
4200,-73.00711674409322,2.361805172640268,-72.45402810824825,2.4622500181417655,-65.30828892773468,3.07093510607224,-66.2430997098843,2.8463523181807564
4400,-72.94022566903485,2.3439631126282583,-72.23732198985513,2.4664392364892582,-64.88725336623857,3.088072298640655,-66.12023996762483,2.8673597474454997
4600,-72.92334295166384,2.342052545498747,-72.22467481680546,2.4698699938936906,-64.57689403411632,3.052333265195719,-65.85152398430368,2.8722105235046
4800,-72.63952622075088,2.40332628994561,-72.1469468787602,2.514265346366014,-64.31927376959338,3.0623052207284736,-65.60970203949421,2.901044481544149
5000,-72.50824811240159,2.4016695665418397,-72.03960544008501,2.524126617335158,-63.962551606621986,3.03070826599827,-65.27942766531187,2.9066617706133537
5200,-72.42482506713787,2.4437795817392147,-71.87875824635067,2.5578709911483557,-63.53521637387061,3.042293340652571,-64.99404343673433,2.9216067451466414
5400,-72.23361808273243,2.4866554782184536,-71.72946156202035,2.605846802003809,-63.20367321329722,3.045710773878988,-64.64766157538766,2.9245490777400787
5600,-72.00663856126357,2.537947817142955,-71.58882857147127,2.6579101711364808,-62.83531619800753,3.005773599213451,-64.40612351602594,2.926025077558174
5800,-71.82948269402694,2.5549433920995446,-71.46360389414991,2.683255288360794,-62.51565558156024,2.976469786506368,-64.1487783349261,2.9091629139575725
6000,-71.6871737144846,2.604527546300608,-71.33283370352385,2.7139206236122853,-62.24725825438196,2.9672791501858,-63.90052176841936,2.9010747782719037
6200,-71.65538562072399,2.6086361184569156,-71.05278057356836,2.7643054190302956,-61.93100891916992,2.918152905782099,-63.56247004730754,2.8831648503026757
6400,-71.40761059533862,2.665894160729932,-70.78082168524557,2.8252723672806708,-61.64862024397475,2.887916144763963,-63.39884216005983,2.9070291588137978
6600,-71.21108121994956,2.7171444690259237,-70.46930265258732,2.850096191872366,-61.30383384029404,2.8588545821493194,-63.220892769179166,2.8883446145130214
6800,-71.0330690817505,2.7569195203191335,-70.09813670802137,2.934603767337747,-60.80893105509342,2.8300924493323087,-62.91317859641477,2.887183873923743
7000,-70.94832706076663,2.7863488223560364,-69.97638579270344,2.941664799583901,-60.353210855787026,2.793881795450195,-62.61396809525433,2.916709742271225
7200,-70.72309614182139,2.839754025486359,-69.78402915573398,2.9409893948415204,-59.951275038001256,2.7640513093873937,-62.45017839047114,2.9054823267876997
7400,-70.46103595825684,2.882949384053008,-69.76019171934125,2.9354150005163535,-59.55499225913898,2.726331680609577,-62.31898420764941,2.9125797596102596
7600,-70.27943635753338,2.9071265777707866,-69.4441530362538,2.9597195232109303,-59.15261711570789,2.690998405382279,-62.095170533483426,2.9227268190011224
7800,-70.07111018245189,2.8974259589777027,-69.30165309684891,2.979954249329249,-58.80508915726231,2.674675471943726,-61.84471254882342,2.88525044884519
8000,-69.9896441204818,2.886380129208232,-68.93883527781502,3.0247304271243554,-58.65280745853989,2.6283298035002725,-61.60821191460039,2.8923932203299647
8200,-69.7607272461788,2.8842805120825785,-68.58910985012021,3.0574892110046132,-58.39699403390698,2.6162485060753577,-61.50771150531782,2.8556613779425533
8400,-69.66103026615913,2.90769074895012,-68.37948969839141,3.0820872021041104,-58.037471848714425,2.6190760231714774,-61.32383840034237,2.833239298823475
8600,-69.5982581068985,2.894622697827767,-68.2419896827584,3.077662879549954,-57.73909970940723,2.626573068522022,-61.20185881987328,2.8141089220581144
8800,-69.41720851786033,2.8974716316337332,-67.94510231172526,3.0888842058510675,-57.56354475963889,2.628010092579497,-60.859310080796256,2.771701243991683
9000,-69.33789885420619,2.9090908811272174,-67.77039186627357,3.0976976649608097,-57.467588528737934,2.5918835271883616,-60.705727837975616,2.7666546169710355
9200,-69.2313018151368,2.9098088186771105,-67.64384461464516,3.136561158804855,-57.16037449494597,2.574042730383893,-60.48344868959533,2.7725737381850406
9400,-68.9588795926057,2.923110864113618,-67.52843869359025,3.144859207432401,-57.120415157856606,2.5550484132271105,-60.109263096416534,2.764148828690426
9600,-68.77996629865686,2.9006065208705025,-67.33916733137323,3.182952422126401,-56.9330032671602,2.5647121378782978,-59.90316493137626,2.75203971446373
9800,-68.51335485884184,2.9242698129484466,-67.23962599753924,3.182304406380733,-56.843808544345904,2.579356228918787,-59.79851192067519,2.74008937395325
10000,-68.31536968036534,2.9129040397281094,-67.0825505742797,3.161841537415179,-56.67506132396679,2.5656907902716797,-59.65096171799061,2.7183740385366324
10200,-68.15390897561039,2.9325649381944947,-66.86616234777344,3.1207383384286724,-56.58313097764833,2.554499252607695,-59.46623809776624,2.7170611485448535
10400,-67.97659992887375,2.926009652677636,-66.67605420864002,3.1196395563976465,-56.46906406599208,2.5014648954776235,-59.29437147352513,2.6972415419024416
10600,-67.71724906365958,2.93517180587902,-66.40770682694459,3.1198953500637763,-56.326792517073834,2.4636852585035083,-59.15987166480721,2.6751668035394958
10800,-67.55257083179612,2.934293456503464,-66.1921964349611,3.0929863639547093,-56.29996234528121,2.453190314857522,-59.041052479548995,2.672917315647438
11000,-67.40472735212707,2.9296364286523557,-66.05630250635863,3.0980488164758624,-56.240905146053976,2.4371314262212045,-58.81705137169996,2.6688187523639737
11200,-67.373086541589,2.925199235174645,-65.91267108141365,3.123181771804024,-56.13011168232197,2.4214179534998417,-58.7369139449009,2.6372634749592305
11400,-67.22726976987153,2.9272799566101035,-65.69830830690506,3.0874158018402227,-55.94163780432206,2.4128032820474723,-58.690228377056236,2.6232936556689026
11600,-66.9894763865722,2.9397610859300314,-65.6286890656878,3.0940862776246547,-55.871172329150795,2.364359779527828,-58.46471307529035,2.5922113911672198
11800,-66.85544274833363,2.9288010512170017,-65.32096150095963,3.087994855155134,-55.673945397711,2.361065727418897,-58.311553940133805,2.5543029238454933
12000,-66.73681115643102,2.944148922203229,-65.2511698074584,3.050943170221748,-55.62517278976573,2.3590767485403883,-57.947212999685206,2.5342476027872647
12200,-66.63064740196515,2.944217770022224,-64.99060381234064,3.0532263974240257,-55.61936751438517,2.363480389674916,-57.77270367093624,2.506711762952555
12400,-66.50822949533934,2.9399261014272313,-64.86089505598352,3.06020278169807,-55.451789525911934,2.3592350178374,-57.53789376952143,2.5078132544853378
12600,-66.29130610770099,2.970077734124209,-64.649226771654,3.0658648791409253,-55.35529675077827,2.373810150472358,-57.25836982491446,2.506921372884773
12800,-66.00824393206774,2.9989949092395025,-64.58244373984652,3.0547721722331382,-55.16103735901681,2.3680466931540183,-57.06341075518772,2.479050568038483
13000,-65.74357651600704,3.048581469570397,-64.30014280776932,3.0584547577849825,-55.04601309604452,2.3873153398768023,-56.746691499499896,2.4628017661971926
13200,-65.5137268966971,3.046083282851799,-64.15721608290315,3.037182603542922,-54.88415609715213,2.3898052813448794,-56.553045919479764,2.4505810286274823
13400,-65.37604085135635,3.042663982897379,-64.05102213449119,3.017106932930322,-54.84908391905551,2.368330458916822,-56.504983229588824,2.431362700357074
13600,-65.11431217290564,3.051646638785152,-63.914395239604325,3.022329772496345,-54.821356742184804,2.3839771965485137,-56.33182407814434,2.43149935616325
13800,-64.8020509564864,3.090461276322221,-63.66336981044074,3.035582674276964,-54.69603581444976,2.380685606892778,-56.239594703825844,2.431223474511241
14000,-64.57445996886169,3.0953161637512747,-63.553742770997616,3.0363123263408283,-54.640145851053276,2.369729343412051,-56.025781009021784,2.430797239044984
14200,-64.40437249388782,3.0727200396009797,-63.328588135653874,3.0320488621130055,-54.46413206194507,2.3552664967593184,-55.92510500600014,2.428339801696798
14400,-64.23940338945864,3.0563190961321456,-63.09299805191029,3.0447175549312457,-54.248123203383436,2.337323776404874,-55.65014253215135,2.4454526750597494
14600,-63.98057541811416,3.067742726825857,-62.96336693703253,3.0253652012984253,-54.20345356566405,2.31438224267169,-55.42896203916316,2.4637884338985145
14800,-63.833929034525674,3.077866747644329,-62.80604882500473,3.032788387027652,-54.17352347722232,2.303379936192957,-55.32438714615418,2.4445400313494043
15000,-63.512752362616496,3.1015389987883206,-62.745041556088694,3.036172437434754,-54.10857718712625,2.3002176411577198,-55.16462767131998,2.4532829465016937
15200,-63.33699279470497,3.114629284403722,-62.61486904713418,3.036067753269596,-53.95091794327469,2.2930560582948774,-55.05977769350885,2.4456395861353557
15400,-63.21081339940311,3.1283542713546955,-62.449834702163756,3.065105164683469,-54.001417335330636,2.289122649743563,-54.91080462981481,2.4547272583541107
15600,-63.11462938208915,3.132439155537616,-62.27410510273692,3.097232407737413,-54.00906965616195,2.277699015932999,-54.84940185996918,2.433821574945855
15800,-62.973207759124676,3.1377318943199315,-62.22331492420348,3.088347413266293,-53.84471814291759,2.2649201362676075,-54.74973785006298,2.4494679401336454
