i,mean-1-MGVT,std-1-MGVT,mean-3-MGVT,std-3-MGVT,mean-1-T2VT,std-1-T2VT,mean-3-T2VT,std-3-T2VT
200,-84.09760543546041,2.17637536163586,-85.34157882806392,1.3488387958895496,-82.85988599888567,2.5655380767188096,-82.04185778609214,3.0121842844842024
400,-83.10591186270659,2.036165909785971,-83.40348819592177,1.998215964622783,-80.92401676912624,2.6329874235488435,-79.98577630012653,3.0596995615805107
600,-83.1026160482698,1.790802452099083,-83.20484105673421,1.9830387515648988,-79.99780672199326,2.367719120148271,-79.93425572210009,2.709272854790363
800,-82.97475084449864,1.882619178907754,-83.54592737607929,1.7674835257379946,-78.47923108738546,2.4158085390763104,-79.73908590068675,2.393130342371304
1000,-82.26861000919713,1.9099790655855695,-83.13056205911828,1.8238567482847288,-78.8077491105088,2.2291111758380926,-79.59047453767275,2.2379559650944363
1200,-82.01157480792203,1.81916980814171,-82.9542898755584,1.8431052922452065,-78.79452749365647,2.0856367542176755,-78.76805533283635,2.2414573506515363
1400,-81.97071555843915,1.7426100085686909,-82.99014212614193,1.7821886600495547,-78.4995702238054,2.159237240822036,-78.89862535059859,2.155021136449954
1600,-81.92032311425811,1.7096033004139841,-82.75856047423356,1.7977696829364918,-78.2810762533266,2.1167115708452284,-78.41712385663969,2.2257664456434716
1800,-81.9885386623401,1.7006652184752038,-82.77914463687884,1.7995265478732383,-78.36592055325566,2.08752694697357,-78.33943070794406,2.2655910770685144
2000,-81.94331580620435,1.6755074840496746,-82.65938688206359,1.8512715150286352,-78.30388351325053,2.0320787520969077,-78.4097452303986,2.249220177116075
2200,-81.86803773404944,1.6981513675949358,-82.5783540251647,1.8783056304769497,-78.07570348857686,2.0846694183160506,-78.55894441014605,2.1965478530853813
2400,-81.95636586481658,1.6385983465763259,-82.62818677396208,1.8646376480662294,-77.90536286076167,2.101762669465796,-78.68229647338164,2.139406119487607
2600,-82.02438738255404,1.6312411124244064,-82.4933403012093,1.9232349313211565,-77.83489389257747,2.1735321026740793,-78.68370138063852,2.131825367222009
2800,-82.05967755139675,1.622208079584163,-82.5669026599601,1.8883754325959856,-77.8241344098916,2.1633164906412876,-78.71560089364573,2.13566244399395
3000,-81.97265079681794,1.6487341454407944,-82.50620472246787,1.8974889744925054,-77.79330310306203,2.1433186206445747,-78.52346120549217,2.152725674135297
3200,-81.92669272926945,1.6722173947893262,-82.44564102404675,1.8741601888219277,-77.76247814234495,2.163811770373084,-78.37824740302133,2.129707897315996
3400,-81.8737286703485,1.689826799876791,-82.41524850467776,1.8822860042233618,-77.83783225966384,2.154191031842588,-78.24805227297612,2.133267665806088
3600,-81.82610753346789,1.6902240273729803,-82.47752922479867,1.8616298422457331,-77.73079180914763,2.173894050389113,-78.18527114521572,2.1553635249894576
3800,-81.8170202166918,1.7030011339937607,-82.47698492588076,1.848774690402856,-77.5792203874843,2.184376389722591,-78.10902259108259,2.1687202871127114
4000,-81.80498325945312,1.7015786354445093,-82.43768898746455,1.8441412861123463,-77.42859126987892,2.1980460743306374,-78.140139861535,2.163216546311793
4200,-81.83299154111579,1.7110419604836213,-82.47272926453165,1.8213238424942588,-77.47139517059193,2.207046148596792,-77.97898450711321,2.1950490975924937
4400,-81.81582515752748,1.7093650903718831,-82.45977136896319,1.7982055690247496,-77.40942421505746,2.215640474293318,-77.77871641422968,2.2299311028583535
4600,-81.79236079404583,1.7097443366921614,-82.42085997284154,1.8065152418392725,-77.300246739702,2.2288805320538505,-77.6799699661061,2.2464397761685575
4800,-81.72127830756402,1.7461749157551025,-82.4351289881423,1.801218688508963,-77.22515976822442,2.2479508714061334,-77.63165125581217,2.229171369795577
