i,mean-1-MGVT,std-1-MGVT,mean-3-MGVT,std-3-MGVT,mean-1-T2VT,std-1-T2VT,mean-3-T2VT,std-3-T2VT
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.23900018434481418,0.0999787464956278,0.3007929121762777,0.10582622733185036
100,0.013684888557182685,0.01920400641576484,0.0,0.0,0.25950138963838787,0.07965009236185981,0.2924328009340694,0.08613343997023483
150,0.014256880010156157,0.021593274516750225,0.013354388334537276,0.01518290356578117,0.3261775499518296,0.07356003452977418,0.32336651714995557,0.07883572434346553
200,0.033118500275946636,0.022952681439617338,0.03851625909397647,0.020867824118724353,0.3634231883761109,0.07652301896602828,0.357186977426188,0.07421144340089866
250,0.050193066668776855,0.025001295900472526,0.0824309464552701,0.034257474833554194,0.3721726760163718,0.07421115547863773,0.3755179954339159,0.0723112202722887
300,0.0808522196868399,0.03332287958946917,0.11841390733838829,0.04362610857718635,0.40372873753957833,0.07157890633124087,0.3917635387555879,0.07090350565623411
350,0.11208947851997594,0.04022474793875906,0.15542455893161555,0.04957321812026553,0.42962794624469913,0.06836935331750314,0.4149573104313014,0.06707733779899949
400,0.1615797101787597,0.04915865643876946,0.2063530547439531,0.056727700082652974,0.45297632427700973,0.06416349536385316,0.43156539402662375,0.06481113975801964
450,0.2096962240082951,0.05495857713452137,0.24859129613175301,0.06082705336912238,0.473183193030928,0.0608915155024245,0.45278708802303475,0.06311828043870035
500,0.24977340702163434,0.058832476898908095,0.2839360489351633,0.06353339475696147,0.5024738772659508,0.05695661341367797,0.4728102941275232,0.061230785558144825
550,0.28834273538742994,0.061396561995260134,0.32884216678449996,0.06422351270501528,0.5161448323549033,0.055885909121591935,0.4898558840555367,0.05816341012819241
600,0.3196054141928145,0.06366741154889745,0.36494555399376816,0.06435740076653679,0.5373972127345016,0.05021665476997254,0.5026053775892023,0.05714558964334434
650,0.3550541891873915,0.06354121993158476,0.40863635951505567,0.06017342824228433,0.5580144071916049,0.046582508096525865,0.5160865988577024,0.05643658404698698
700,0.38376969479639883,0.06355615576540763,0.4410260589144295,0.0584166260007252,0.5734451149653281,0.04380929103559407,0.5315556031609908,0.05465605949165538
750,0.40606513053533955,0.06310929893191873,0.4694904568821892,0.05680493289950426,0.5910066020682483,0.03986843440886019,0.5416097474306364,0.05436774824110316
800,0.4306978914546806,0.06332475617971882,0.49185465231247905,0.056277881559083594,0.6058991935829876,0.03678258980704131,0.5555781162947219,0.052033849547605385
850,0.45022419469754765,0.06324838171012452,0.512592720365233,0.05411903263355021,0.6189142471792095,0.03398573490222521,0.5693967723021873,0.04818925540588207
900,0.4693472738635594,0.06269139678926805,0.5307138227041952,0.05208427528799388,0.6309719383260654,0.03136913198055205,0.5812657358468668,0.04520333748703173
950,0.4844367480771269,0.06253288327896844,0.5490365229968576,0.05022828064732948,0.6394559949788001,0.03025781775040804,0.5971339129572231,0.04091768074346689
1000,0.5028794621229182,0.061172997920607534,0.5630032892462287,0.049652876013631435,0.6456545535950413,0.02862730548856893,0.6074363994784817,0.03852370884353774
1050,0.518963544199517,0.05984521787636781,0.5752042761538505,0.04968816805750981,0.6525906579548507,0.026877616989452856,0.6145538428064096,0.036355075907967986
1100,0.5347247090636178,0.05730813730347063,0.5854449361032021,0.04894401938126638,0.6606632953782288,0.024647587034106355,0.6244218304931947,0.03398938097664739
1150,0.546451791573473,0.05610338292303875,0.594368532310733,0.04866728880777425,0.6656511657774253,0.023124827456007434,0.6328157337216529,0.03158545454955844
1200,0.5605183768971298,0.05411597704768633,0.6040878753898548,0.048657648800790626,0.6733528295142877,0.022107653910027104,0.6392605880046134,0.0291553880749739
1250,0.5745473763240913,0.05215185321801886,0.6139951663598854,0.04861157948731522,0.679578382267112,0.021429667063569646,0.6445799497449662,0.02777044883593595
1300,0.5912361001957707,0.05120807678131538,0.6263678255385231,0.048970781721662186,0.6852961375192496,0.020274804233759703,0.6516036357911656,0.026432943124841526
1350,0.6101598554676805,0.05162419774167206,0.6438972617452973,0.05000163985565484,0.6909621271475314,0.020697452912577026,0.6604499538622535,0.025842550363599462
1400,0.6287009856414977,0.05146016543316427,0.6618126778691787,0.051278935314719686,0.6989432709365759,0.020670812740287783,0.6688719073651082,0.026237464546632706
1450,0.6449154283085957,0.05127184275736047,0.6786093586848756,0.05156431922726917,0.7092293963039861,0.020139110800107402,0.6810015072368397,0.025598271609966465
1500,0.6638536661555723,0.050750370416089055,0.6946958339244799,0.051954418314026876,0.7193422064861654,0.019485755101745834,0.6928674343875916,0.025075184827341775
1550,0.6787555793843594,0.05069127703823887,0.7121695030798638,0.05076163922551852,0.7304346739277869,0.018640458055459542,0.7026020543950365,0.024540776231160737
1600,0.6930534911861838,0.04983464166573919,0.7254422902923331,0.050228306260398266,0.7398882092729164,0.016006003703866185,0.7111886424982579,0.023481391482676084
