i,mean-1-MGVT,std-1-MGVT,mean-3-MGVT,std-3-MGVT,mean-1-T2VT,std-1-T2VT,mean-3-T2VT,std-3-T2VT
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,0.0,0.0,0.0,0.0,0.0,0.0,0.000779406743614,0.001558813487228
850,0.0,0.0,0.0,0.0,0.0,0.0,0.000733559288107294,0.0014671185762145879
900,0.0,0.0,0.0,0.0,0.0007660545398545308,0.0015321090797090614,0.0006928059943235556,0.001385611988647111
950,0.0,0.0,0.0,0.0,0.0013887081232340105,0.0019458533176361127,0.002105811705711609,0.003044218359087365
1000,0.0,0.0,0.0,0.0,0.0013192727170723102,0.0018485606517543067,0.0033513387333471735,0.003395760512031108
1050,0.0,0.0,0.0,0.0,0.002611594152823037,0.00253551086486044,0.0037855848840365465,0.0034000344973899245
1100,0.0,0.0,0.0005841923655315619,0.001168384731063124,0.0037153406073583205,0.003769476146840558,0.0036135128438530674,0.0032454874747812924
1150,0.0,0.0,0.001189210380906584,0.0023784207618131677,0.004660716547487464,0.004746113234116012,0.004020840657918936,0.0036819467247180423
1200,0.0,0.0,0.0017142008532597078,0.0025315578473944014,0.004991373050678181,0.005119504268661233,0.004405207331325632,0.0036498923938048634
1250,0.0,0.0,0.0016456328191293197,0.0024302955334986258,0.005365902554729673,0.005002406146746174,0.004737947426923704,0.003600278198259656
1300,0.0,0.0,0.0020866924957583023,0.0025195105898498595,0.005689867137908592,0.005119053694509517,0.004555718679734331,0.003461805959865054
1350,0.0,0.0,0.0024666595447615414,0.0025637340681296957,0.007032727546070594,0.006670632295012224,0.004386988358262688,0.0033335909243144943
1400,0.0,0.0,0.0023785645610200578,0.002472172137125064,0.008602164877280057,0.007549327072897318,0.0047129738090820805,0.0033063164250556566
1450,0.0,0.0,0.0022965450933986765,0.0023869248220517855,0.012028927187719625,0.008615178396513797,0.0054732237398339165,0.0035981289876357886
1500,0.0,0.0,0.0022199935902853874,0.0023073606613167263,0.013034028250647178,0.009015008584694464,0.006666535478689006,0.004600074315522129
1550,0.0004315946829481808,0.0008631893658963608,0.0021483808938245687,0.002232929672241993,0.015250787379768318,0.0097243038037487,0.0077053743278894206,0.005401721512800762
1600,0.0012774292064429973,0.001446975012950485,0.0020812439908925507,0.0021631506199844305,0.01694334129523949,0.010018857080427301,0.011718534935489902,0.007258828040088206
1650,0.0012387192304901791,0.0014031272852853174,0.0023922912281032537,0.002199205960468206,0.017640068739063215,0.010129171903953741,0.012974698133188483,0.00803365718842773
1700,0.0015727708008894282,0.0015267519463419347,0.002707611615849713,0.0022371821583362073,0.01893550045845111,0.011068420275091721,0.014883249425248697,0.008853651025739947
1750,0.002277310698380815,0.002343321352821205,0.002986551509620407,0.002253411736934859,0.01955970964926753,0.011553334809104795,0.015251934565902505,0.009371422097438822
1800,0.002214052067870237,0.0022782290930206174,0.0029035917454642846,0.002190816966464446,0.023159726087276438,0.012949798804976721,0.017336154602942046,0.00979884380590634
1850,0.002484546465783401,0.0022877633346038316,0.0035595461626320374,0.0022940019983552127,0.026464951361981154,0.014269021790778153,0.019291988510943128,0.010518567839451045
1900,0.0027506497857381703,0.0024946714652612522,0.003832407167852022,0.0025223119503666683,0.028439339504598794,0.015602279954565064,0.021293279682268938,0.010573124173451048
1950,0.003037255287667742,0.0025024466367405537,0.005103195424286622,0.00331853027857166,0.030414730265888274,0.016381662243092565,0.023323985256993748,0.011198184035325466
2000,0.003701024278864328,0.003111164124029472,0.005674280983323631,0.003944297224370594,0.03137091935094667,0.016577182051834956,0.024888976057982362,0.012175744176585101
2050,0.0036107553940139788,0.0030352820722238747,0.006207047720048494,0.004330864372182433,0.03378419665952694,0.017203020881470705,0.027944645815449812,0.013152795308022278
2100,0.004177248977477954,0.00368700552771448,0.0070137780265729435,0.004877104679545714,0.03742315251595335,0.018224838297398366,0.029555577746121577,0.013937642926156289
2150,0.005334935932441178,0.004571822113434085,0.007165794313455289,0.004769256990993313,0.039784066916481134,0.019090671234072973,0.03220251137410505,0.01492570298920959
2200,0.005521640422213565,0.004738860422631865,0.007859238751587288,0.00525143662199281,0.04264454691547666,0.020139077975988066,0.03453722242989999,0.015431935296400672
2250,0.006283743172428414,0.004937178092224473,0.00915631731643347,0.005827833085700371,0.04496505046179574,0.021149806703583865,0.03692205633022032,0.01602492073249307
2300,0.006707923047231053,0.0054895710611061145,0.011057922646670664,0.007016493046877136,0.04906222816194556,0.022428018991031362,0.040186744657097345,0.017379972603391632
2350,0.007390061046558871,0.006152232767965921,0.012764990910059776,0.00817347904073627,0.05352765345555849,0.024123017503799516,0.04443727089391248,0.019153078223940967
2400,0.008925488188720942,0.006911358303683797,0.013722028921934465,0.008890122256436733,0.05861493699845581,0.02549237852610367,0.04642792068127373,0.019961900075951503
2450,0.010166727199492772,0.007485872156773577,0.016000103956350212,0.010168363406759032,0.06186320321254862,0.02673439265453384,0.05039458151261909,0.021573347310877358
2500,0.012037064060754285,0.009054212367313436,0.01649323394066335,0.01058619373313294,0.06559805006662431,0.02807983241751796,0.052659050495427975,0.02219395011878732
2550,0.01320704175320519,0.009571157174401313,0.01790741416154042,0.011506358906009395,0.0694408436075256,0.029701277588361604,0.05726493325890687,0.024157115049917
2600,0.014578022889987337,0.010699161105208653,0.018749192416246122,0.012270842681213829,0.07366522604425449,0.031150215048020357,0.06155094591804357,0.025627682944045715
2650,0.015704107704860148,0.011311256420567049,0.021557439123836203,0.01370248473031817,0.08031975322227833,0.03315842883445707,0.06601563857218487,0.02733880994580708
2700,0.0168141946646015,0.012146642570474321,0.023182839732380493,0.014477795411279807,0.08506720209046603,0.03418643939557704,0.06977945655235823,0.028711810599396044
2750,0.018225217412042014,0.013132344235603069,0.0262189954398097,0.01596696177087696,0.09253701058593093,0.03661515717734229,0.07549827370162827,0.030561996938025634
2800,0.019600346026076784,0.013984900867779437,0.028165873863619968,0.016956547249024814,0.09781237233405926,0.03846862775444559,0.07968223851847313,0.03117041122927784
2850,0.02067670124126795,0.014804099587030333,0.0309485805794237,0.01802826596056082,0.10261793347457068,0.03971761806702821,0.08402441824943663,0.032718298093966716
2900,0.02210768503384592,0.01601554888844559,0.03295889625220598,0.019400344350145968,0.10824182261302212,0.04113466364002994,0.09023202805873613,0.03484090100101766
2950,0.024674625657996233,0.017312342852551007,0.03554249592625013,0.020905752398600458,0.11358877337279098,0.04207379551162211,0.09476866308642128,0.03651714610366059
