i,mean-1-MGVT,std-1-MGVT,mean-3-MGVT,std-3-MGVT,mean-1-T2VT,std-1-T2VT,mean-3-T2VT,std-3-T2VT
50,0.12292867867828465,0.07511771751344332,0.11329748806158016,0.07431027291357949,0.08506205315443348,0.06588463970596459,0.028745477644280388,0.04028808206612261
100,0.09806949043857204,0.049078591319118306,0.0838756323702753,0.05166747388802258,0.0503883765685597,0.04125998735612719,0.03432827249400804,0.029484896770190387
150,0.08572284856959272,0.04092253051680207,0.07235622165730411,0.04270049020906941,0.03907885170905061,0.03576731136407538,0.027390375323073916,0.02459947178920712
200,0.09424057028133959,0.04604013337931865,0.07065828704091955,0.04132974465800619,0.0364401567897866,0.03306487152166532,0.030087822725648316,0.02266210914430008
250,0.09605460089829478,0.04822643861159702,0.07962905426286264,0.04153222571027545,0.03775913432961926,0.03472632239253821,0.026640704588857523,0.01857452295363382
300,0.10126200643072548,0.051217671632116255,0.08294143816619147,0.04340841528292786,0.04658251968840062,0.03319256258885615,0.037933063196195854,0.023265595409998247
350,0.10426084654500388,0.050600632815460324,0.08956840916879187,0.04523944346475389,0.05379998055228786,0.03463082546584877,0.03609306129493204,0.02240684936951243
400,0.10284665312554642,0.050999361624302894,0.10163157118779903,0.04906714744756227,0.055762923245916605,0.03527169577989849,0.044192645408059554,0.025060851596863727
450,0.12159818580041605,0.05409211157661813,0.11643470397948484,0.05159520908325134,0.058791644315546704,0.03401940787293647,0.048851152359215125,0.027466808506964153
500,0.13445430454976223,0.05479077826706129,0.12644650840645874,0.05351204205684291,0.07334190257605418,0.03495973828335822,0.047512634172744095,0.02788772574560087
550,0.15004017206220976,0.05748147019618588,0.14250287664240902,0.054474762478677455,0.08640424526554623,0.03981891542686739,0.055001798512304696,0.02919451893169179
600,0.17273771933770493,0.05950606766391685,0.161360132114114,0.05556244829929766,0.0972428938688413,0.04219028243890759,0.06305083034718216,0.03054236314767637
650,0.19297952147977032,0.06096578258742023,0.18411123856369194,0.05726025589936137,0.11060315678541861,0.04385258922622035,0.08037118838181374,0.034902556689077505
700,0.21457319308144762,0.06267597275935023,0.2101428987241733,0.05963591088309968,0.1250608935098381,0.0457248647064318,0.09175049623791526,0.03765156732058394
750,0.23532493711794372,0.06447049361822726,0.23392687582438496,0.06134828112470463,0.14142658521985685,0.04819634357583675,0.1038727396589694,0.04066759488056261
800,0.25706797461008607,0.06644289806013713,0.25373572346280965,0.06312944201067763,0.1599880036981519,0.050352843177237844,0.11597615437128683,0.04352337135500384
850,0.27311243276307784,0.06794211593548592,0.268657418436904,0.06520411805126028,0.17021501836583589,0.05141734815361645,0.12672629800341764,0.04466379004614865
900,0.2880414245547003,0.06920871671350975,0.2869943188921017,0.06482070936210295,0.1812240412492665,0.05271513670463787,0.1431963153057855,0.047459558641640906
950,0.29915555053519804,0.07035204527135258,0.3073800545160929,0.06493989888674638,0.1938472964715976,0.05508102371995878,0.15985778845369622,0.04950112736202491
1000,0.31220748396848863,0.07046096275639499,0.3226267755534186,0.06418458326665648,0.21126680047956137,0.05520932097118947,0.17253471931074904,0.051633962483185504
1050,0.32440840484483274,0.07043231972048708,0.34119426917528856,0.06458678038027559,0.22700567303301203,0.056434402456072764,0.18282486092066183,0.05457625523471394
1100,0.3385413003026559,0.06979277392585509,0.35816651540588557,0.06426544513887354,0.24249838923326666,0.05779905045597331,0.19886501133592727,0.05553276446640784
1150,0.35284196961468905,0.06874998392587915,0.3763354123015164,0.06435396454883247,0.2592060851273245,0.05838840664186171,0.21024137111871247,0.057374038693695194
1200,0.3671984804855664,0.06840797806683853,0.3919155668331387,0.06460522203817028,0.2674269547344299,0.059534511616784656,0.22564189210614127,0.058202126856385115
1250,0.3789522178639488,0.06841047294334494,0.4035084864452785,0.06516070678200624,0.2791154884084719,0.0606527700185384,0.2404741366080874,0.0583886261256084
1300,0.3946511157145416,0.06804245738330988,0.4152318550968357,0.06566771667279783,0.2896224418373884,0.061596612751372806,0.25415350249945295,0.05928086988749144
1350,0.40729143615712216,0.06856472008057937,0.42747884040223577,0.06570229030350444,0.3001901787227913,0.06248775353162807,0.26725918329211795,0.06005882634478759
1400,0.42075584967634294,0.06866390485659576,0.44206082114773354,0.06595408785073173,0.30974215431979674,0.0636264595780173,0.2752678041761678,0.06161588197272469
1450,0.435479332671492,0.0683328602611877,0.45449406543039983,0.06690617179610857,0.3209311301915647,0.06494886210190148,0.2871586814111189,0.06341458276287273
1500,0.44919333561555386,0.06888928842222641,0.4694433917033096,0.06818858109029181,0.3338722996924254,0.06674634368611458,0.29822043447949925,0.06462277001187942
1550,0.46251956522717835,0.06994279218282991,0.48573420082585633,0.0700940710714341,0.3490438393740068,0.068512803338593,0.31354552099720084,0.06635268431808554
1600,0.47902145667602497,0.07030806081746514,0.49986269556728047,0.07219830146504282,0.36280849978699087,0.07085730954867302,0.32894294098139915,0.06853741625209718
